sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,label
12.76410703,11.49162784,10.49584408,10.21550766,9.148999854,10.58604022,8.174337534,8.597428767,11.84749074,8.144852707,1
10.45196455,12.65340542,12.81981793,13.502854,10.74295365,11.42359511,12.97196091,11.77718502,9.728168122,7.256265281,1
12.27593024,10.40335463,11.90628491,11.77770434,10.90694172,12.61421163,12.0314911,13.55872156,11.80926641,11.89388008,1
12.06942564,9.562666077,11.76172093,12.3002332,10.44920192,13.60142803,13.70954423,10.64104906,10.44455851,12.83845756,1
10.96392345,11.287883,10.4354739,13.11736675,12.12428152,10.89716691,10.24463465,11.36329025,11.50155029,11.80203519,1
11.77601312,11.86110397,11.23133995,11.89119384,10.4850573,11.66911659,9.133263256,10.98972395,11.61818862,10.52923516,1
12.79889737,11.44524819,12.70935785,13.32902891,12.42393753,12.18697522,12.85923898,12.4345067,11.07188159,10.59237472,1
10.58466592,10.97374668,12.58970388,12.17904952,10.56637582,12.23697984,9.205512056,9.742214382,11.92265418,10.92145065,1
13.92600847,12.21181053,11.20339631,13.16281373,12.25479992,11.13804749,11.45496353,10.64447643,10.22809531,10.04816373,1
9.229425435,10.45114182,12.1603347,10.75685128,10.30342241,11.64631794,12.38198516,11.87986666,11.50744935,13.64830471,1
12.42201912,11.10214224,11.34441549,10.41962872,10.19877388,10.73354914,11.27827191,12.05362201,8.847630306,6.805799504,1
12.1000164,9.509286746,10.21584604,13.00973223,13.08043212,11.14529179,13.53829135,13.49254757,13.28260461,11.39052582,1
11.15252367,12.14765096,11.75878925,10.6481101,11.35876129,12.20546498,12.55538782,12.37086795,12.68931744,13.88253942,1
9.751495545,10.69130002,10.7278663,11.74562969,12.00815164,11.83470435,13.53944281,11.3792191,10.9313725,13.38597615,1
13.25299028,10.75453956,10.9197556,11.63885128,11.91649558,11.0347865,9.964395345,12.97738687,13.31839973,10.81941278,1
12.31087472,13.06585946,11.38917165,11.99446767,13.51249255,12.43820214,12.13563803,10.42977986,14.17436159,12.60584607,1
10.4300111,11.76847137,10.82397216,11.77890869,9.894020763,11.37708719,10.6579675,11.71234988,12.317753,12.02847722,1
12.21491019,12.90908459,12.11905551,12.01529248,12.24643598,13.24455074,11.39273538,12.54485762,13.39731429,9.436109413,1
11.5450466,12.25469777,12.63325353,13.33774213,11.56352523,13.18604451,10.55675084,11.71478766,10.48663229,9.148236638,1
9.184488412,10.13006964,7.348552546,7.443227993,5.838953899,7.948520827,8.55081937,10.30916317,10.14384936,12.067962,0
13.10454781,11.57878089,13.01292042,12.13224215,12.75405342,11.88372784,10.61016892,11.22129337,13.19326006,11.94756138,1
12.16318683,12.29121482,11.64756807,9.897622875,9.32139517,8.984682918,9.406239467,10.92632116,8.334438279,8.605850231,1
12.56610354,12.65977232,11.76794781,13.67165609,12.41794154,11.95485149,10.65703076,13.85480889,14.22712199,12.12996327,1
10.70037463,11.91537853,13.54415096,10.57313435,12.44058849,12.24934906,12.08222727,10.39954968,12.23162374,9.501213653,1
12.4793182,13.53849517,11.79395363,11.71562503,13.32626292,13.96679469,13.08688172,12.91446499,12.23053935,11.89425715,1
12.94821408,11.79139827,10.92085924,12.67299497,12.9512995,11.78365606,10.82987897,12.64677961,11.04049668,11.08299821,1
11.59653903,11.27902978,11.06906359,10.99214353,11.15414275,11.6539097,11.71587405,13.5611761,10.97792346,12.24752908,1
10.24717854,11.15883946,10.62049302,12.03536954,12.34767833,10.28419948,10.69923703,12.67646135,11.2131811,8.630462953,1
12.35790184,12.50122401,12.44442393,11.96668335,11.73684494,12.98553573,13.07239844,10.69147055,11.72044206,11.47251708,1
9.000016156,10.69181747,8.667550414,7.254692138,7.656022445,6.373936846,8.806499003,7.285882941,8.373075058,10.27469981,0
10.24234446,9.827739216,9.425606387,11.32659333,11.77018581,11.54135493,12.55598136,10.98863953,10.3054421,11.64259127,1
10.50975149,10.75918026,12.07426696,11.10586487,11.8131159,13.31495525,10.92197888,11.73373632,11.74630844,13.14049827,1
11.88029188,11.21744402,10.86557108,10.64013868,12.79032453,12.67703133,12.41490687,12.82201205,11.04010078,8.932302182,1
10.50094446,13.3226844,11.78233017,13.56113238,12.9521104,11.28405746,11.11183824,11.32587396,11.1618811,9.069603042,1
11.74571836,12.29584283,13.870631,12.92726305,11.0404599,12.61042367,10.28887757,12.42635955,11.34719514,11.79314142,1
11.76198827,11.40068393,11.74091483,11.34787442,11.99069005,11.93012146,11.29179187,12.99467475,13.82855269,12.45912154,1
13.94023031,10.91730204,13.18707053,11.04273615,10.70146182,11.0898611,10.2560375,9.836316176,8.961220507,9.568485422,1
10.68423834,9.600471096,9.419690467,9.208170271,9.971289785,9.713829974,9.109141265,7.088032606,4.780909613,6.197215216,0
12.24826376,11.49406295,10.35842054,10.62621703,11.37135003,10.99290459,12.49994938,10.90642044,13.06694206,10.7220468,1
13.15604963,11.52032449,12.52201883,10.68354257,11.858834,12.83083315,11.51906277,11.29428362,12.65907084,8.127823005,1
10.26948346,9.132604389,8.686272708,7.854753206,9.441661785,7.824692114,8.238935632,6.868335412,8.668035858,10.06904363,0
10.82779142,11.97453958,10.8933241,9.33289919,8.016077587,9.080197927,5.67718651,6.20348881,8.532583957,9.601686959,0
9.934394368,12.48625273,9.902471498,10.15560254,12.57095464,11.46080335,10.861367,9.523387702,10.34532197,7.870871028,1
12.56899623,11.33606135,12.97605168,11.16449641,12.195933,12.37172625,12.67448614,11.83187864,12.12110791,12.48349059,1
11.31990737,12.14771361,10.75618875,11.91092246,12.66647172,10.51039542,12.36379443,10.05528825,12.11526411,13.35370754,1
9.73363203,10.02322915,9.876364482,10.12309482,12.49523117,10.78654714,11.9923741,9.953563494,10.68544077,10.39154183,1
12.35935166,11.83825359,11.27151538,8.975752265,9.172906274,9.889958103,9.350156022,10.97857333,11.44173359,9.973793731,1
